hour,spot_price_eur,pv_gen_mw,bess_charge_mw,bess_discharge_mw,bess_soc_mwh,hp_elec_mw,vpp_net_export_mw,scada_available
0,32.483570765056164,0.0,0.0,0.0,5.0,0.7333333333333334,-0.7333333333333334,0.0
1,30.501274574026688,0.0,0.0,0.0,9.0,0.6666666666666666,-0.6666666666666666,0.0
2,37.92755355804811,0.0,0.0,-0.0,9.0,0.6,-0.6,1.0
3,47.866411940510964,0.0,0.0,0.0,9.0,0.6,-0.6,0.0
4,46.32923312638332,0.0,0.0,0.0,9.0,0.6666666666666666,-0.6666666666666666,1.0
5,54.77064863666587,0.0,0.0,-0.0,9.0,0.8333333333333334,-0.8333333333333334,1.0
6,72.89606407753696,0.0,0.0,0.0,9.0,1.0666666666666667,-1.0666666666666667,1.0
7,77.89584022435278,0.5204964521102886,0.0,0.0,9.0,1.1666666666666667,-0.6461702145563781,1.0
8,80.15262807032524,1.7913841307520106,0.0,-0.0,9.0,1.0,0.7913841307520106,1.0
9,92.46153755945899,3.4586032684038295,0.0,-0.0,9.0,0.8333333333333334,2.625269935070496,1.0
10,92.99380066839304,5.71580972386094,0.0,2.5887999999999995,6.270925574530888,0.7333333333333334,7.571276390527607,1.0
11,96.4787551522661,6.837287813781392,0.0,5.0,1.0,0.6666666666666666,11.170621147114726,1.0
12,76.20981135783018,6.946445881813735,-0.0,0.0,1.0,0.6,6.346445881813735,1.0
13,64.2410026968284,6.89889398904816,-0.0,0.0,1.0,0.6,6.29889398904816,1.0
14,61.6862999698902,5.130949669003697,5.0,0.0,5.743,0.6666666666666666,-0.5357169976629695,1.0
15,61.9372996953243,3.94559224124727,3.43348091924942,0.0,9.0,0.7333333333333334,-0.22122201133548325,1.0
16,77.43584439832789,1.7776339944800046,0.0,5.0,3.729074425469112,0.9333333333333332,5.844300661146671,1.0
17,75.6299032415646,0.5087703204509912,0.0,0.0,1.0,1.1666666666666667,-0.6578963462156755,0.0
18,60.45987962239394,1.075935660497561e-31,0.0,-0.0,1.0,1.2666666666666666,-1.2666666666666666,1.0
19,48.87981491473531,1.113433904499385e-31,0.0,0.0,1.0,1.1666666666666667,-1.1666666666666667,1.0
20,54.82824384460778,1.1182287429772888e-31,0.0,-0.0,1.0,1.0,-1.0,1.0
21,39.12238115603817,1.053105125575228e-31,-0.0,0.0,1.0,0.9333333333333332,-0.9333333333333332,1.0
22,35.02675189098427,1.1943339358830774e-31,0.0,-0.0,1.0,0.8333333333333334,-0.8333333333333334,1.0
23,24.06885514881533,1.1593382163738397e-31,0.0,-0.0,1.0,0.7333333333333334,-0.7333333333333334,1.0
